click_hour,total_clicks,attributed_clicks,attributed_rate_percent
2017-11-06 14:00:00,48,0,0.0
2017-11-06 15:00:00,435,1,0.22988505747126436
2017-11-06 16:00:00,2307777,3916,0.16968710581654986
2017-11-06 17:00:00,1263348,2241,0.1773858034365828
2017-11-06 18:00:00,738140,1343,0.1819438046982957
2017-11-06 19:00:00,496354,984,0.19824560696599605
2017-11-06 20:00:00,409752,987,0.24087740877408773
2017-11-06 21:00:00,509572,1236,0.24255649839473128
2017-11-06 22:00:00,1223530,2475,0.20228355659444394
2017-11-06 23:00:00,2359612,4211,0.17846154367751987
2017-11-07 00:00:00,3604365,8268,0.2293885330703189
2017-11-07 01:00:00,3308150,10490,0.3170956576938772
2017-11-07 02:00:00,3095633,10979,0.3546609045710522
2017-11-07 03:00:00,3220271,9895,0.30727227615315605
2017-11-07 04:00:00,3645493,8322,0.22828188121606596
2017-11-07 05:00:00,3227349,7870,0.2438533917466007
2017-11-07 06:00:00,2917284,7566,0.25935082083197936
2017-11-07 07:00:00,2924033,7917,0.2707561781963473
2017-11-07 08:00:00,2801293,8626,0.3079292312514257
2017-11-07 09:00:00,2961319,8727,0.29469976047835444
2017-11-07 10:00:00,3300746,8180,0.24782276491435573
2017-11-07 11:00:00,3134200,9215,0.29401442154297747
2017-11-07 12:00:00,3000091,9185,0.30615737989280994
2017-11-07 13:00:00,3235239,8773,0.2711700742974476
2017-11-07 14:00:00,3161797,7002,0.22145634270637868
2017-11-07 15:00:00,2864021,3673,0.12824626635070063
2017-11-07 16:00:00,2314780,3830,0.16545848849566697
2017-11-07 17:00:00,1263077,2207,0.17473202346333597
2017-11-07 18:00:00,726684,1430,0.19678429688833107
2017-11-07 19:00:00,493056,1028,0.20849558670820353
2017-11-07 20:00:00,409255,958,0.23408388413092082
2017-11-07 21:00:00,518866,1301,0.2507391118323421
2017-11-07 22:00:00,1172535,2623,0.22370334361021207
2017-11-07 23:00:00,2333773,4099,0.17563833329119843
2017-11-08 00:00:00,3493769,6877,0.19683613885176726
2017-11-08 01:00:00,3065649,8919,0.2909335021719707
2017-11-08 02:00:00,3585843,9480,0.26437298007748805
2017-11-08 03:00:00,3172056,9903,0.31219499277440244
2017-11-08 04:00:00,3545132,11247,0.31725193871483487
2017-11-08 05:00:00,3160269,9814,0.3105431847731949
2017-11-08 06:00:00,2983655,8614,0.28870630149933557
2017-11-08 07:00:00,3155262,8852,0.2805472255552788
2017-11-08 08:00:00,2976057,8075,0.2713321687051021
2017-11-08 09:00:00,3068314,7658,0.2495833216548241
2017-11-08 10:00:00,3377086,7671,0.22714849429360104
2017-11-08 11:00:00,3430977,8608,0.2508906355245168
2017-11-08 12:00:00,3485357,8733,0.2505625679091123
2017-11-08 13:00:00,3616634,8042,0.22236145543065733
2017-11-08 14:00:00,3676695,6756,0.1837519837789101
2017-11-08 15:00:00,3336168,4640,0.13908172490114407
2017-11-08 16:00:00,2455567,4352,0.17722994322696145
2017-11-08 17:00:00,1387383,2490,0.17947459353329254
2017-11-08 18:00:00,794088,1605,0.20211865687430108
2017-11-08 19:00:00,554053,1247,0.2250687208624446
2017-11-08 20:00:00,447324,1003,0.2242222639518559
2017-11-08 21:00:00,550518,1359,0.2468584133488823
2017-11-08 22:00:00,1260525,2665,0.2114198449058924
2017-11-08 23:00:00,2366694,4711,0.1990540390941964
2017-11-09 00:00:00,3318301,6551,0.1974203063555717
2017-11-09 01:00:00,3082862,8437,0.273674267612368
2017-11-09 02:00:00,3068887,8949,0.2916040896911486
2017-11-09 03:00:00,3351149,9063,0.2704445549869612
2017-11-09 04:00:00,4032691,9666,0.23969106484974922
2017-11-09 05:00:00,3671741,8847,0.24094836754553223
2017-11-09 06:00:00,3570940,9577,0.26819268875982233
2017-11-09 07:00:00,3186240,8884,0.27882394295470525
2017-11-09 08:00:00,2804701,8615,0.30716286691522554
2017-11-09 09:00:00,2986204,8340,0.2792843355644825
2017-11-09 10:00:00,3304199,8546,0.2586405964047565
2017-11-09 11:00:00,3347741,8228,0.24577767515467894
2017-11-09 12:00:00,3363917,8566,0.2546436193283009
2017-11-09 13:00:00,3457523,8983,0.25981027458096445
2017-11-09 14:00:00,3443283,7838,0.22763159461479057
2017-11-09 15:00:00,3026111,4877,0.1611639493726436
2017-11-09 16:00:00,447,0,0.0
