threshold,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives,business_value
0.01,0.11378480577518048,0.8850267379679144,0.20164483703929334,993,7734,129,766581,-384.0
0.02,0.1309933774834437,0.8814616755793226,0.22809040590405905,989,6561,133,767754,669.0
0.03,0.13838782412626832,0.875222816399287,0.23898758822097835,982,6114,140,768201,906.0
0.04,0.14432989690721648,0.8734402852049911,0.24772497472194135,980,5810,142,768505,1150.0
0.05,0.149303962062108,0.8698752228163993,0.2548635592113853,976,5561,146,768754,1279.0
0.06,0.15395547134059687,0.8689839572192514,0.26156941649899396,975,5358,147,768957,1452.0
0.07,0.15704350638848455,0.8654188948306596,0.26584531143052703,971,5212,151,769103,1478.0
0.08,0.15982187036120732,0.8636363636363636,0.2697286012526096,969,5094,153,769221,1536.0
0.09,0.16304164559096274,0.8618538324420677,0.27420955621721255,967,4964,155,769351,1606.0
0.1,0.1671858774662513,0.8609625668449198,0.28,966,4812,156,769503,1728.0
0.11,0.17134232954545456,0.8600713012477719,0.28575658868818476,965,4667,157,769648,1843.0
0.12,0.17501815541031226,0.8591800356506238,0.29079939668174964,964,4544,158,769771,1936.0
0.13,0.17768747691171038,0.857397504456328,0.29436964504283963,962,4452,160,769863,1968.0
0.14,0.1807410193718262,0.85650623885918,0.29849355489982915,961,4356,161,769959,2034.0
0.15,0.18404907975460122,0.8556149732620321,0.30293467970968757,960,4256,162,770059,2104.0
0.16,0.18650019508388607,0.8520499108734403,0.3060179257362356,956,4170,166,770145,2070.0
0.17,0.19008594843094143,0.8475935828877005,0.310530612244898,951,4052,171,770263,2038.0
0.18,0.19445015416238437,0.8431372549019608,0.31601803908468346,946,3919,176,770396,2021.0
0.19,0.20216216216216215,0.8333333333333334,0.3253871585174874,935,3690,187,770625,1920.0
0.2,0.20815204946187313,0.8101604278074866,0.3312078702860266,909,3458,213,770857,1372.0
0.21,0.21889685876824141,0.7887700534759359,0.3426911907066796,885,3158,237,771157,952.0
0.22,0.24970238095238095,0.7477718360071302,0.37438643462739846,839,2521,283,771794,209.0
0.23,0.3069306930693069,0.6907308377896613,0.42500685494927337,775,1750,347,772565,-940.0
0.24,0.38453038674033146,0.6203208556149733,0.4747612551159618,696,1114,426,773201,-2674.0
0.25,0.7417218543046358,0.09982174688057041,0.17596229379418696,112,39,1010,774276,-19119.0
0.26,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.27,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.28,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.29,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.3,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.31,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.32,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.33,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.34,0.0,0.0,0.0,0,0,1122,774315,-22440.0
0.35,0.0,0.0,0.0,0,0,1122,774315,-22440.0
